City,Country,Date,Latitude,Longitude,Max Temp,Humidity,Wind Speed,Cloudiness
Punta Arenas,CL,1579928831,-53.15,-70.92,48.2,87,12.75,20
Cloquet,US,1579928831,46.72,-92.46,32.0,79,10.29,100
Traverse City,US,1579928831,44.76,-85.62,34.0,86,4.7,90
Hofn,IS,1579928635,64.25,-15.21,35.42,97,52.61,100
Cairns,AU,1579928635,-16.92,145.77,89.01,74,3.36,61
Hong Kong,HK,1579928575,22.29,114.16,79.0,64,11.41,40
Atuona,PF,1579928832,-9.8,-139.03,80.69,78,12.12,1
Kieta,PG,1579928832,-6.22,155.63,85.14,70,6.51,2
Kushmurun,KZ,1579928832,52.45,64.63,3.6,90,11.54,0
Meulaboh,ID,1579928832,4.14,96.13,84.36,70,2.89,9
Dikson,RU,1579928832,73.51,80.55,-2.24,95,7.4,100
Hermanus,ZA,1579928574,-34.42,19.23,66.0,98,9.19,0
Banikoara,BJ,1579928833,11.3,2.44,68.5,10,10.54,19
Codrington,AU,1579928833,-38.27,141.97,71.01,44,5.99,73
Batagay-Alyta,RU,1579928833,67.8,130.41,-34.42,54,3.8,0
Suntar,RU,1579928833,62.14,117.63,-7.78,96,5.61,96
Kaitangata,NZ,1579928833,-46.28,169.85,58.12,90,9.17,57
Tuktoyaktuk,CA,1579928833,69.45,-133.04,-4.0,83,17.22,90
Barrow,US,1579928645,71.29,-156.79,-20.2,75,8.05,20
Sola,VU,1579928833,-13.88,167.55,82.35,77,13.53,5
Shahrud,IR,1579928833,36.42,54.98,29.41,69,10.65,68
Saskylakh,RU,1579928834,71.92,114.08,-23.57,90,23.33,100
Kodiak,US,1579928580,57.79,-152.41,19.4,57,8.05,75
Areia Branca,BR,1579928834,-4.96,-37.14,80.24,74,12.37,70
Lavrentiya,RU,1579928837,65.58,-171.0,-16.13,78,3.53,0
Ushuaia,AR,1579928837,-54.8,-68.3,48.2,81,4.7,75
Vaini,TO,1579928592,-21.2,-175.2,78.8,88,6.93,75
Terrace,CA,1579928837,54.52,-128.6,37.4,100,3.36,90
Fortuna,US,1579928837,40.6,-124.16,55.99,93,6.02,90
Hilo,US,1579928579,19.73,-155.09,75.2,69,3.96,90
Saint-Philippe,RE,1579928828,-21.36,55.77,82.4,88,25.28,100
San Patricio,MX,1579928838,19.22,-104.7,76.46,74,6.33,63
Yellowknife,CA,1579928834,62.46,-114.35,1.0,84,8.05,90
Mataura,NZ,1579928838,-46.19,168.86,66.0,61,11.01,71
Airai,TL,1579928616,-8.93,125.41,77.13,80,2.24,94
New Norfolk,AU,1579928838,-42.78,147.06,77.0,41,14.99,75
Pokaran,IN,1579928838,26.92,71.92,69.57,26,7.23,0
Port Alfred,ZA,1579928580,-33.59,26.89,64.99,92,5.08,26
Aginskoye,RU,1579928839,51.1,114.53,6.93,78,3.8,0
Deputatsky,RU,1579928574,69.3,139.9,-38.88,97,0.51,1
San Quintin,MX,1579928839,30.48,-115.95,57.92,84,2.51,50
Busselton,AU,1579928824,-33.65,115.33,93.0,17,18.57,30
